"","star_player_brawler_name","pick_rate","win_rate","role"
"1","8-BIT",0.0172476276123109,0.583657587548638,"Damage Dealers"
"2","AMBER",0.0189925237909883,0.603533568904594,"Controllers"
"3","BARLEY",0.0194220366965089,0.635107118175536,"Artillery"
"4","BEA",0.0119458276847912,0.597752808988764,"Marksmen"
"5","BELLE",0.0302806598392011,0.662677304964539,"Marksmen"
"6","BIBI",0.0291531884622096,0.543278084714549,"Tanks"
"7","BO",0.0275693596231024,0.55744888023369,"Controllers"
"8","BROCK",0.0180932311450546,0.630563798219585,"Marksmen"
"9","BULL",0.014375260056642,0.590102707749767,"Tanks"
"10","BYRON",0.00656349408748641,0.627811860940695,"Supports"
"11","CARL",0.0466155725272808,0.615318168730204,"Damage Dealers"
"12","COLETTE",0.0336899185267707,0.622709163346614,"Damage Dealers"
"13","COLONEL RUFFS",0.00657691636578393,0.718367346938775,NA
"14","COLT",0.0282807403728709,0.593735168485999,"Damage Dealers"
"15","CROW",0.00665745003556904,0.558467741935484,"Assassins"
"16","DARRYL",0.0102277760627089,0.548556430446194,"Tanks"
"17","DYNAMIKE",0.0279854502503255,0.573141486810552,"Artillery"
"18","EDGAR",0.0133283223494356,0.560926485397784,"Assassins"
"19","EL PRIMO",0.0133551669060306,0.533668341708543,"Tanks"
"20","EMZ",0.0269250902648216,0.543868394815553,"Controllers"
"21","FRANK",0.0255157510435821,0.565491846396633,"Tanks"
"22","GALE",0.00728829711555239,0.556169429097606,"Controllers"
"23","GENE",0.0351529468612002,0.61282932416953,"Controllers"
"24","JACKY",0.0134357005758157,0.601398601398601,"Tanks"
"25","JESSIE",0.0222004483040951,0.548367593712213,"Controllers"
"26","LEON",0.0129659208354026,0.60351966873706,"Assassins"
"27","LOU",0.00575815738963532,0.710955710955711,"Controllers"
"28","MAX",0.0137175684200636,0.573385518590998,"Supports"
"29","MORTIS",0.0734601291223172,0.539375114196967,"Assassins"
"30","MR. P",0.00461726373434627,0.563953488372093,"Controllers"
"31","NANI",0.0263479322980283,0.478349465104432,"Marksmen"
"32","NITA",0.0167375810370052,0.554931836407378,"Damage Dealers"
"33","PAM",0.0110733795954525,0.56,"Supports"
"34","PENNY",0.0130196099485927,0.585567010309278,"Artillery"
"35","PIPER",0.0177442519093191,0.675491679273828,"Marksmen"
"36","POCO",0.0204152852905252,0.542406311637081,"Supports"
"37","RICO",0.0466961061970659,0.597872951997701,"Damage Dealers"
"38","ROSA",0.0163617572446747,0.554552912223134,"Tanks"
"39","SANDY",0.0322268901923412,0.567263640149938,"Controllers"
"40","SHELLY",0.0131135658966753,0.5496417604913,"Damage Dealers"
"41","SPIKE",0.0134357005758157,0.611388611388611,"Damage Dealers"
"42","SPROUT",0.0108317785860972,0.603469640644362,"Artillery"
"43","SQUEAK",0.0145765942311048,0.721915285451197,"Controllers"
"44","STU",0.0378642470772989,0.58738036157391,"Assassins"
"45","SURGE",0.0262002872367556,0.604508196721312,"Damage Dealers"
"46","TARA",0.0357703716628861,0.572983114446529,"Damage Dealers"
"47","TICK",0.026186864958458,0.576114812916453,"Artillery"
